title,link,pubDate,category,tags,slug,migrated
블로그,https://blog.naver.com,,,,,N
bitandink — 코드와 문장 사이,https://blog.naver.com/PostList.naver?blogId=bitandink,,,,,N
내 블로그,https://blog.naver.com/MyBlog.naver,,,,,N
이웃블로그,https://nid.naver.com/nidlogin.login?mode=form&url=https://blog.naver.com/bitandink,,,,,N
블로그 홈,https://section.blog.naver.com,,,,,N
로그인,https://nid.naver.com/nidlogin.login?url=https://blog.naver.com/bitandink,,,,,N
로그아웃,https://nid.naver.com/nidlogin.logout?returl=https://blog.naver.com/bitandink,,,,,N
블로그,https://section.blog.naver.com/,,,,,N
블로그,https://blog.naver.com/PostList.naver?blogId=bitandink&skinType=&skinId=&from=menu,,,,,N
태그,https://blog.naver.com/BlogPrivateTagCloud.naver?blogId=bitandink&Redirect=Dtagcloud&skinType=&skinId=&from=menu,,,,,N
안부,https://blog.naver.com/guestbook/GuestBookList.naver?blogId=bitandink&skinType=&skinId=&from=menu,,,,,N
프로필,https://blog.naver.com/profile/intro.naver?blogId=bitandink,,,,,N
bitandink,https://blog.naver.com/bitandink,,,,,N
AI가 코딩하는 시대에 개발자가 필요한 이유,https://blog.naver.com/bitandink/224159585499,,,,,N
📚 읽기의 태도 ② ─ 우리는 왜 끝까지 읽지 않을까,https://blog.naver.com/bitandink/224172780161,,,,,N
"아틀라스를 보며 ─ 기술과 노동, 인간은 무엇으로 살아갈까",https://blog.naver.com/bitandink/224176712515,,,,,N
내 노동은 공짜가 아니다,https://blog.naver.com/PostView.naver?blogId=bitandink&logNo=224212951304&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=,,,,,N
"저작권이 점점 더 날카로워지는 시대에, 나는 왜 여전히 '공유'를 믿는가",https://blog.naver.com/PostView.naver?blogId=bitandink&logNo=224209067229&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=,,,,,N
〈 오늘 죽는다면 태양을 볼래 〉 ─ 단편소설,https://blog.naver.com/PostView.naver?blogId=bitandink&logNo=224208080170&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=,,,,,N
AI에게 판단을 맡긴 사회를 상상해봤다 – move37 이야기,https://blog.naver.com/PostView.naver?blogId=bitandink&logNo=224207366438&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=,,,,,N
〈 감정사용설명서 〉 ─ 휴먼 코미디 숏폼 드라마 기획안,https://blog.naver.com/PostView.naver?blogId=bitandink&logNo=224206062346&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=,,,,,N
RSS 2.0,https://rss.blog.naver.com/bitandink.xml,,,,,N
RSS 1.0,https://rss.blog.naver.com/bitandink.xml?rss=1.0,,,,,N
ATOM 0.3,https://rss.blog.naver.com/bitandink.xml?atom=0.3,,,,,N